MPO,2020,2025,2030,2035,2040,2045,2050
MTC,338.66,711.82,1900.35,2115.18,2330.00,2546.04,2762.08
SACOG,209.90,244.90,599.85,637.35,674.85,737.42,800.00
San Joaquin Valley,733.74,866.40,1203.41,1354.36,1505.30,1644.87,1784.44
SANDAG,83.92,108.92,235.13,247.63,260.13,284.25,308.37
SCAG,798.28,1069.31,1615.56,1731.59,1847.62,2018.93,2190.24
Other,187.00,379.40,881.70,946.65,1011.60,1105.40,1199.19
