Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
Marin,0,-2615001.8688514372,-3056308.489375273,-3459297.7624222985,-4313982.295283113,-5751565.765266659,-7366129.320097223,-8680713.892588858,-9591898.806614533
Mariposa,0,2481.0236889355656,-13196.774496227219,-29344.922150872197,-36147.46699898641,-39648.44562782371,-38750.094830315815,-35102.1879276391,-30904.242522312983
Mendocino,0,-99783.76721616962,-357174.80670141417,-659248.0585273404,-890912.2505248401,-1057468.6553169093,-1165701.662205026,-1265005.982504404,-1426012.1940261521
Merced,0,-3806464.4063952058,-9594537.565359613,-16775115.998801298,-24142580.197648928,-32056179.236949477,-39682453.60490536,-47122587.81638203,-54329963.76581262
Modoc,0,8869.971602328005,2511.718619856634,-1448.2359592735302,-1131.5107326932484,-226.30335026059765,724.1758232707507,3847.224715135875,10387.614981755149
Mono,0,-8371.379974950018,-36217.2911277962,-63214.0520269899,-85694.0283472354,-104454.15101190656,-111260.3589181444,-111485.41583859385,-111755.2347835917
Monterey,0,-4416076.637339399,-9893789.015301652,-15265311.147229526,-19953166.92926621,-23993326.096730083,-27615003.083948717,-31134974.069740586,-34241692.230120495
Napa,0,-1759974.7490513083,-3462602.498139924,-5208518.66525208,-6999811.827371184,-8411823.298343472,-9575967.58993514,-10480313.724598315,-11285143.555099614
Nevada,0,94271.60627031804,-874431.7447840917,-1994028.7263498702,-2835601.665866138,-3488800.985324473,-4002288.333893703,-4491995.773048639,-5073526.018686023
Orange,0,128982120.13436793,216585195.49338835,275776327.739755,328828294.2703301,375276661.1038916,412270849.1705983,432675712.3893569,442743024.2314376
Placer,0,-16430333.491134362,-32457361.462610994,-49965881.335242175,-68765822.6766207,-90350548.76279871,-112760716.17915653,-133385838.99796277,-153019917.00827858
Plumas,0,49170.44844042417,56058.51898808341,49792.77116167545,57991.98318911239,80514.21745487442,115640.95505229715,153317.06462222172,179973.70088855177
Riverside,0,-476135250.5183984,-1048311312.8362204,-1730248111.3790362,-2473299538.929493,-3180123560.673742,-3778023409.0482693,-4289560364.5846405,-4761779342.486077
Sacramento,0,72863354.72790298,178697247.5225106,293882698.8859387,415913863.1436553,542030056.4453849,661611270.696103,765087164.4194983,843068701.4129379
San Benito,0,-942220.5783036316,-2123821.292520731,-3444436.4592944374,-4833541.7316606175,-6176069.223735008,-7399884.1429055575,-8449681.980298262,-9513799.27414525
San Bernardino,0,176357758.84199962,428306628.4391146,746294467.7909505,1086413414.2129076,1411208714.6086736,1696381976.9924312,1943781193.6121294,2183176046.9565787
San Diego,0,-273941367.4675095,-546362225.1068391,-769496946.8630332,-992009066.1411458,-1199241588.9040763,-1387225376.734554,-1571931810.4831393,-1748223296.2727683
San Francisco,0,10094702.338861078,21007099.533123635,31332059.046791155,40307161.48062004,47661271.46251737,55459091.62397944,63228042.11695595,69324322.17175463
San Joaquin,0,-10163911.041610088,-22207329.161485083,-37872279.60096259,-57583657.18915784,-78113261.75965607,-97899434.20447356,-116644723.45693085,-135220926.4999913
San Luis Obispo,0,-2786973.3592938986,-8243428.451009845,-13902994.023767317,-17351845.566983152,-23199466.53818027,-23329452.0265332,-24628218.656742744,-25564676.41817546
San Mateo,0,-23962302.943615396,-41472807.12217241,-58626156.18401901,-74429909.7672777,-92240030.06193605,-111656994.01319414,-131501509.7478965,-148116182.71121696
Santa Barbara,0,-17006847.662171572,-36829101.73207587,-57231363.33283767,-73816446.08237883,-98343680.26513827,-106089132.4696641,-116768069.92469017,-126318685.98186396
Santa Clara,0,-569501510.073471,-1004226178.8284949,-1485212844.0226998,-1979364502.0500627,-2478490431.1550736,-2956554865.6500773,-3384965156.6473775,-3770133762.6789336
Santa Cruz,0,-5421843.422378512,-9860624.11578061,-14641107.116772698,-17283008.83859641,-21674847.63519622,-21613064.625259824,-22578163.268597476,-23836500.41953295
Shasta,0,-289256.894034032,-1163352.1367310784,-2107513.171172742,-2868241.8439231524,-3533417.16758221,-4045977.7280684104,-4520929.477112886,-4976782.842130839
Sierra,0,790.1077954258144,1847.882072983928,2905.709563634853,3963.751723457426,5110.844747181083,6232.4696189348615,7162.953280924561,7927.762254144225
Siskiyou,0,-30518.730749826413,-95964.63129969733,-141387.63766352343,-159743.71866758214,-156780.4749177287,-114241.52859254647,-47748.06032195338,7931.395268225344
Solano,0,-5374286.533393923,-11499302.932958588,-17865305.87605295,-24562298.15580675,-31562795.30762256,-37606432.782591,-43085435.95665908,-48493673.98944945
Sonoma,0,-13634766.55788698,-32036169.53730792,-50578660.39835165,-67623928.1776597,-83082750.52453768,-97090335.97295262,-109873965.07125318,-121822103.46017748
Stanislaus,0,-12933389.699915534,-32480537.390856747,-53406856.48689194,-73844146.55506939,-92568428.94371308,-111058874.2139505,-129665056.57691388,-148976824.1114177
Sutter,0,-288917.4437723736,-1033415.8720295673,-1783788.3021767042,-2576564.998575232,-3448861.6197908144,-4345806.449412916,-5158934.372684076,-6019920.135144428
