Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
San Luis Obispo,0,-38219.97610878479,-113046.2313317256,-190654.72275227774,-237936.8396189548,-318120.8868338596,-319901.5180003261,-337707.8296649819,-350545.86240535043
San Mateo,0,-165452.26603111252,-286353.3859350085,-404785.51390926354,-513883.16334057227,-636845.9163446706,-770901.745765198,-907908.4428038374,-1022614.7278258726
Santa Barbara,0,-49774.120665263385,-107785.14249939565,-167490.57305423636,-216012.90605236217,-287786.67627107725,-310450.2574049011,-341696.5374056827,-369640.4493895639
Santa Clara,0,-543970.642157428,-959192.7004668713,-1418589.2959483936,-1890488.4112443328,-2367190.2293192074,-2823772.3376883045,-3232926.4650675654,-3600777.348549068
Santa Cruz,0,-60754.82990474254,-110491.53473863378,-164055.07594446186,-193647.65482055116,-242855.05160300434,-242161.4755356023,-252972.74458634015,-267069.37395638507
Shasta,0,-15423.812096291687,-62030.68368650088,-112370.82594521111,-152921.22681698017,-188384.19228526205,-215709.74581389502,-241028.89929939434,-265329.32335122814
Sierra,0,1220.309878320797,2854.0284260144035,4487.831017663564,6121.9726545621015,7893.646637655984,9625.986104263888,11063.111266647997,12244.354065355677
Siskiyou,0,-938.1236108894227,-2949.795500908047,-4345.9007171138655,-4909.759790325887,-4818.655922601582,-3511.192307424615,-1467.5109503680142,243.76440282992553
Solano,0,-109737.89781362005,-234800.68905564398,-364779.3357055094,-501491.5610419363,-644417.1989694107,-767805.169706203,-879663.7446783334,-990076.1435828023
Sonoma,0,-79200.42830659449,-186085.9620832093,-293787.5991942603,-392776.1330578998,-482561.90167337656,-563917.8029045407,-638164.0039101187,-707556.7903794851
Stanislaus,0,-98176.48356910795,-246540.0417134799,-405372.0953292679,-560476.570016589,-702593.6863738224,-842935.7651460841,-984152.6838709395,-1130724.2993104663
Sutter,0,-17290.41096981382,-61843.14730174281,-106747.61576260859,-154182.0872561715,-206380.36933813524,-260053.45806599036,-308709.7359021744,-360229.23668268416
Tehama,0,-7248.138295756886,-17722.015819565393,-27448.108340506908,-36206.47909303359,-42980.53147194069,-46362.6701777156,-48107.501851069974,-50170.01996355131
Trinity,0,440.45852008715156,-1050.6018798801233,-2047.0490236839978,-2263.6679679891095,-1953.1808144851238,-1169.742299248057,64.98568329153932,1263.610508446931
Tulare,0,-123978.35099638999,-288296.91112076864,-489610.57349113096,-708654.8728088643,-905953.3599390006,-1085364.162850298,-1256618.9774639811,-1425125.464827191
Tuolumne,0,4740.001721400768,-1352.3733724898193,-7087.686189815868,-12305.258706121938,-17272.887628833298,-18437.8033061265,-18196.786269445438,-18089.667586475844
Ventura,0,-55854.108112968504,-113729.08408834599,-173122.50221444666,-228014.1859642174,-278169.67000553384,-314610.04862048104,-340972.883961346,-362583.8885716535
Yolo,0,-57906.62903509475,-128645.9927688092,-215216.25833728164,-291466.745719783,-416499.0056361011,-475195.0071780514,-547179.9862436857,-606889.8607302243
Yuba,0,-11698.218301855493,-40432.107880287105,-71154.01837244327,-103444.70727270958,-137700.87716704654,-170343.18881395878,-200122.9306644625,-223375.11178237083
