Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
BLAIRSDEN-GRAEAGLE,133525.8020386987,128280.83360358587,127549.74346190682,128221.60639295558,127356.05036166412,124954.33398581893,121208.33614780325,117190.86998954456,114348.82254136048
BLOCKSBURG,78821.69806396769,81194.25858853784,85227.54678760127,88843.65106337602,88623.72670755631,86842.91903252069,83674.6376026396,80138.70806786606,77869.84072904498
BLOOMINGTON,719952.5982492083,721582.0722489422,723911.026566436,726849.3660570482,729993.3436190279,732994.37364768,735629.320961813,737915.3870340539,740127.4979548967
BLUE LAKE,53044.436440522426,58603.309095238845,68049.84828560306,76519.07606889514,75995.39887896423,71822.33045307516,64398.21586553056,56112.26834706195,50795.047161946044
BLYTHE,251576.9393467945,333698.24360551656,497577.4882720286,643593.3270107578,769723.5454465175,891404.7908276455,999413.7407772334,1097745.7626488134,1188438.6328396606
BODEGA,180381.4181151603,199294.58255878236,224822.4964708914,250546.19718871004,274199.2039984814,295643.72075568157,315075.1190728788,332808.7063179199,349383.3654437349
BODEGA BAY,46515.156388524745,121948.90379881057,223754.7066266024,326341.1527843442,420646.29666175274,506172.0507238582,583668.8820964446,654394.222524493,720497.2534113384
BODFISH,93799.6489254192,123617.73934341554,182941.693460949,244483.8829963019,306904.06288466405,370963.64500433306,435909.47934994474,501599.7444471123,565384.2636582685
BOLINAS,83439.26111326824,119786.16820486664,125921.49704220079,131524.26010237937,143408.39845950683,163390.4666669399,185832.4161269514,204104.8277250594,216770.2318322357
BONITA,617313.2099964736,628022.1335026198,638714.4533159601,647443.0298960595,656157.8451256098,664264.6149773584,671618.7383703161,678843.8688538469,685739.8570453962
BONSALL,616736.0485207974,652055.1758059625,687225.5916695368,716000.2244093315,744705.9861795562,771429.9234266015,795671.9012867435,819490.3208203422,842223.5618688912
BOONVILLE,144354.42002580746,145701.2011180906,149178.99611554667,153259.68457443948,156395.7671275789,158644.48320295362,160106.25502654508,161448.0007661565,163622.4999905735
BORON,67605.97166692906,103812.46239824157,175841.77984618314,250567.29693377533,326357.1217935219,404140.1202161292,482999.20803158917,562761.817275321,640210.3937049367
BORREGO SPRINGS,16774.965632549636,49833.14751661282,115803.05990526534,174582.1301746775,225355.9728804766,274339.1068633867,317818.41584677284,357402.22224427084,393910.8637267591
BOULDER CREEK,254892.29667681002,346809.7588107406,422066.5099588145,503115.89232678036,547917.4836524155,622373.9389021969,621327.871523466,637691.3341960784,659026.0711869848
BRADLEY,71078.6732227561,77960.57483930879,91435.9045531557,105412.7369615891,113933.18265552103,128373.17026112345,128694.58287200486,131902.31325340614,134215.37884627844
BRANSCOMB,79925.24240223027,82328.51394647856,88529.90660630663,95807.38586523078,101392.42223934665,105404.34886792355,108011.70207895082,110404.29503306113,114282.96529383864
BRAWLEY,676011.0276948903,705958.6968443838,765722.6007247773,818971.3341131051,864969.4322757376,909343.7061622969,948732.0315323335,984591.5497662914,1017665.2544413974
BREA,1047970.4443712406,1138387.4769091317,1199799.2040072423,1241292.8290212825,1278484.595446674,1311045.16490259,1336978.330922261,1351282.518100522,1358340.0468707415
BRENTWOOD,1243411.4602188552,1322202.5691322945,1401421.0519934557,1480635.160331514,1559194.4013079973,1641801.6392124894,1723143.654262369,1800353.4576663638,1876804.9693199908
BRIDGEPORT,55474.725047719534,58904.625185093166,70314.93186018887,81377.2001408895,90590.76473119717,98277.2496208365,101066.1534805376,101158.84710120258,101269.87324095036
BRISBANE,98084.7017732079,106782.06733723416,113139.5961391436,119367.56459130708,125109.90827945127,131575.13333069655,138623.56003385177,145827.1718570473,151858.46923798017
BROOKS,90862.03561519703,144975.18704442907,211086.54600007966,291988.7494967945,363261.5596042441,480111.6030141504,534966.7914682174,602243.1810279316,658048.3746347975
BUELLTON,264166.71160188754,283132.1043328713,305243.9780178761,328002.1786724918,346513.60119027767,373866.2113877848,382505.16252169816,394416.17100861977,405068.8749433465
BUENA PARK,1674910.1958545526,1720280.0046024,1751097.395461057,1771918.7308315458,1790583.665670498,1806922.159623903,1819935.1439063177,1827113.1515249629,1830654.9068052354
BURBANK,1852190.0592827508,1883566.6549336563,1911647.2035909856,1937406.3101920516,1959756.1868996706,1978427.1105342708,1994693.9577275761,2006730.1355170195,2014543.0287022623
BURLINGAME,1173612.41372785,1256843.9337097663,1317682.2406203435,1377280.3127660214,1432226.6508613275,1494095.4426616596,1561545.145515697,1630479.789409854,1688195.768778382
BURNEY,137005.51536435017,148514.76524590218,183298.05410925194,220868.82751731866,251146.49064133543,277613.55533988646,298008.5058689949,316907.4858752593,335046.5128626557
BURNT RANCH,45781.59203586915,45160.160431188735,47265.140853483426,48672.301874431694,48981.22266056789,48543.37029450598,47438.236355860994,45696.449944814776,44005.56655734028
BURSON,216466.67030869782,217068.5389019086,223862.0661047182,229366.86551396167,233635.99518391173,237206.12842620962,239375.85659426491,240103.01243108898,240767.4953061047
BUTTE CITY,34407.690955427504,37010.60144996079,41145.22626608558,45159.1422101607,48830.97341310374,52140.96111473167,55072.975561155385,57772.76729977927,60559.374614367276
BUTTONWILLOW,120931.13387102733,248995.14121542085,503752.7639203868,768054.8915197428,1036116.2185592632,1311234.9673446424,1590159.7777988282,1872279.1935998835,2146213.8013562025
CALABASAS,410423.95629650383,450301.8672805228,485986.6304497113,518723.9721399793,547123.8160974832,570853.2351321409,591527.1779646605,606823.6432296428,616752.5445842454
CALEXICO,466635.43676488305,470218.39138237113,477369.2617943166,483740.1409591701,489244.31183104485,494553.31355057063,499265.7991950569,503556.1859730529,507513.2783337872
CALIENTE,141232.7007222669,154625.49952417554,181275.19023098674,208917.12563121403,236953.88432467234,265725.10402994294,294894.37198748376,324398.03405548126,353045.6903475317
CALIFORNIA CITY,229439.25348739215,237572.49399996072,253768.2636711381,270557.88077087194,287590.5486054505,305063.2466633659,322777.7193317514,340695.9174536106,358094.2149759377
CALIFORNIA HOT SPRINGS,118093.2273712159,280831.73153074906,496556.6503646979,760839.5771333929,1048426.7308460836,1307439.6616461142,1542970.0823104437,1767799.6982938414,1989022.2339084484
CALIMESA,100202.74931705598,100882.89699884134,101700.41893393378,102674.59494587779,103736.27349488507,104745.96477627385,105600.06200037428,106330.81562625505,107005.40491631167
CALISTOGA,536026.4601603915,650502.4611739798,805006.2794720974,960694.3165266616,1103826.9297120725,1233619.1672172558,1351226.7760933714,1458558.0884667602,1558874.6770281428
CALLAHAN,66675.2636811109,68396.63494358951,72089.90245103918,74653.71913555272,75693.69462077344,75526.92184314295,73128.06116881492,69378.32669893908,66238.53257558183
CAMARILLO,1818372.9426104329,1855563.7448903357,1894102.9353166819,1933651.185604251,1970205.1652762291,2003601.8099396387,2027866.1592626234,2045420.6834605972,2059811.1753499717
CAMBRIA,127146.15539028184,133416.29628080083,145696.08272716484,158432.83883712286,166202.03177361144,179359.2235431983,179652.7268096592,182576.38030696145,184684.8720344993
CAMINO,95490.4630428477,96002.52419130402,96949.18151953674,97905.94864624666,98625.62265127077,99270.88963221342,99657.9471198743,99691.30459098863,99484.0124641214
CAMPBELL,1742174.8584405733,1797706.7453826293,1840127.1188397717,1887059.3548305137,1935342.0856277687,1984024.4549842195,2030652.4701772912,2072438.4177235097,2110007.8970856424
CANOGA PARK,1758725.6192074295,1766300.3558974292,1774152.175726002,1782207.677312377,1789656.049399755,1796458.1639781103,1801400.3030094274,1804976.1565575958,1807907.5908522422
CANTUA CREEK,67543.36023490879,137137.42915266642,242057.20094489254,349651.3772841565,450056.79406163807,548717.2046107668,639020.3444166264,730362.2044391627,826922.7142170249
CANYON,56829.22676650715,65842.31402870297,74903.1921369371,83963.58522502123,92946.81283107505,102396.12722893644,111700.74579146187,120532.68795649086,129277.89631095363
CANYON COUNTRY,988409.4080972046,1305646.4652277404,1589523.801666559,1849955.5907831492,2075879.1387977744,2264651.513799332,2429116.918674752,2550803.0688623227,2629789.118147431
CANYON DAM,67678.97852341624,65098.61371204394,64738.714173139364,65069.03135718328,64642.65099138885,63461.06079578897,61618.128382996336,59641.623232068276,58243.38137985489
CAPISTRANO BEACH,334574.4941327113,355573.3280732363,369836.07268499234,379472.7897482219,388110.6854657185,395672.71241700574,401695.56363203714,405017.68013317464,406656.80098681396
CAPITOLA,323226.60213318403,337230.75255247264,348706.13960249006,361063.9450066589,367914.17452794965,379260.5643893736,379103.7507157128,381600.8235939476,384855.31715484534
CARDIFF BY THE SEA,322866.6473049038,333394.26934092207,343889.14418282267,352467.79912965617,361028.9197149571,368996.40051386284,376224.05036541115,383325.2341990934,390102.92579774035
CARLSBAD,2695653.79405224,2738811.7868602714,2781944.1859415094,2817127.591741531,2852266.3070910233,2884944.132554797,2914588.6248184154,2943712.507828393,2971509.8146966826
CARMEL,317153.24811343086,354702.925694765,401287.6153553827,446969.29206808965,486850.460072542,521205.7818665747,552003.2921611139,581937.1296395232,608357.0626357633
CARMEL BY THE SEA,171626.69675573445,176832.19843328188,183293.59098889292,189629.64923571347,195166.67991019486,199929.98968113755,204200.2938471544,208351.29915534548,212015.15460496303
CARMEL VALLEY,64602.22351026669,77535.00573020928,93578.63838048461,109311.23548177889,123044.42176125734,134876.69880577008,145483.5363385412,155792.75996900952,164891.73555079754
CARMICHAEL,1406798.6350796446,1426075.909953944,1454130.4656264686,1484610.6281443296,1516976.01848595,1550343.338031999,1581982.2854942144,1609365.9568454036,1630005.2017949284
CARNELIAN BAY,32332.13244147793,35169.60588381329,37938.50336603364,40962.27701680884,44210.49718429461,47938.09879746372,51808.26104907054,55370.25812947999,58761.113830423594
CARPINTERIA,336790.7337766114,342882.7342916707,349992.5128910998,357309.65566528565,363273.50769269344,372061.15446191805,374838.0256045974,378666.8869086403,382091.52372469055
CARSON,929179.5442250216,941120.7607929347,951807.5785342845,961610.9035812828,970116.7480999817,977222.469752841,983413.2551863329,987993.94423126,990967.3484410314
CARUTHERS,311702.23130274366,360452.85716366564,433963.5994887765,509335.94505345915,579675.7387917121,648786.2777099011,712042.6782144621,776027.2611699309,843667.3238536757
CASMALIA,146689.97659075726,171547.06526847839,200522.55974826292,230345.468158618,254594.04446071747,290443.0104384979,301764.3562202187,317373.57560791366,331333.62382247305
CASPAR,113223.66851573277,113622.57008150057,114654.78729456138,115865.49314514465,116799.6704139226,117466.1427844464,117899.66391396552,118297.91179964531,118942.80617611318
CASTAIC,202650.46559443034,338638.0267018855,460325.1466537266,571962.3325641954,668806.7043309468,749726.2759087904,820226.3633285152,872388.5471182009,906246.8075337217
CASTELLA,29903.797168258483,35581.090020716554,52737.92601566897,71269.9019591379,86202.83336921927,99258.46632784333,109318.75922576111,118640.99920601357,127588.3852660573
CASTRO VALLEY,1126998.712481667,1319797.7617860835,1502804.6345137274,1681867.0014962296,1842423.5937978437,1998095.7484969879,2160497.531287877,2323910.3296543276,2464932.252551077
CASTROVILLE,151353.99639215766,152655.53113774123,154273.3690162668,155859.76450341198,157249.83768250392,158441.24079741244,159509.5220003397,160548.26741195653,161465.19797579863
CATHEDRAL CITY,943331.4233678476,963168.295964703,987008.3234261879,1015419.8377830712,1046379.6313616949,1075827.6532032895,1100737.6600727944,1122049.8409588167,1141723.9516561946
CAYUCOS,52468.172512908655,57869.87378297051,68447.35168036634,79418.60516696546,86108.08970153345,97442.75371229989,97695.22979207625,100213.4005696505,102029.31725438283
CAZADERO,97717.50218369084,114690.56696306884,137599.29812758934,160683.78885740257,181909.0134605069,201153.7327258193,218591.85353237123,234506.33139585803,249380.76849220382
CEDAR GLEN,128283.01179940937,140188.8745991715,157198.0573693992,178665.34746111408,201626.84654871596,223553.63667955785,242805.55955446284,259507.38270501548,275668.8288460286
CEDARPINES PARK,81478.90468306531,89039.37591038144,99840.56965979925,113472.74745638693,128053.78510496358,141977.75195038004,154203.1225330502,164809.12723369838,175071.9810476586
CEDARVILLE,26937.264382522357,25746.24460130671,26600.817107672476,27133.325865082443,27092.8185378938,26971.42892609429,26844.01184555923,26424.972320722416,25547.054398737324
CERES,820653.1968155986,856933.4805582607,911824.3379331689,970539.8296886297,1027898.4079084736,1080422.903950414,1132291.634650257,1184487.8963937531,1238663.0938819638
CERRITOS,799444.8226193155,813553.2361486068,826179.1258575637,837761.525316505,847810.44608738,856205.7462154261,863520.0559886764,868931.9940150237,872444.9421768792
CHATSWORTH,750350.8976683035,800077.4804167573,844575.9762374553,885398.6638271814,920813.377081502,950403.33940968,976183.2152845658,995257.6207563971,1007638.8279700283
CHESTER,41626.433944938166,32348.955265921373,31050.413148509633,32233.70496197961,30689.367735812222,26439.933964427182,19812.24474957739,12703.617650955846,7674.18828151892
CHICO,2047979.9130884926,2064978.5126504833,2089605.0201144333,2112476.3223292576,2133176.061908389,2149077.2010051715,2157026.7485044273,2161144.3633367815,2166006.874161586
CHILCOOT,43528.24707241787,43951.60899206149,47117.5942103852,50040.257096274654,51986.24863634023,53296.49437211298,54233.71363800051,55351.10914816134,56399.71359498099
CHINO,1698514.7898055927,1702584.6462500985,1708401.3834225573,1715740.283268252,1723592.5980418057,1731088.1104607978,1737669.2749116751,1743379.03279249,1748904.07601898
CHINO HILLS,1353473.1993001178,1358107.6846239802,1364730.4005825378,1373087.2031333654,1382027.5324536567,1390562.8667316684,1398056.9939445984,1404558.6892893817,1410850.0408562254
CHOWCHILLA,376702.90565387293,415656.6553593504,511731.05344491376,612126.8187894933,710078.319704407,814890.341179587,918824.5222542612,1021946.3829626164,1129751.5229584156
CHULA VISTA,3822903.517237518,3871492.3700366225,3920132.409482146,3959754.3208067175,3999345.901885055,4036146.8524949495,4069532.4690240882,4102330.3670693277,4133634.443005939
CITRUS HEIGHTS,1586764.9198159943,1602371.4593346172,1625100.9646318317,1649778.94164252,1676006.2420388702,1703020.0369909685,1728634.754908124,1750806.2437254256,1767517.7532294802
CLAREMONT,909904.9015163179,948471.5969343462,982983.9601376887,1014645.1151061667,1042112.44509779,1065061.6853008822,1085055.92260001,1099849.6210482554,1109452.24668983
CLARKSBURG,168015.82110792195,189190.5398453975,215064.18007645005,246722.11800422013,274617.7132402544,320342.14187301503,341807.52986589214,368133.909064943,389971.5859978604
CLAYTON,475693.56967898505,540467.1411439071,605584.1636213696,670697.4360320775,735255.3204972954,803163.0303992911,870030.7908658558,933501.5645782426,996348.9375074387
CLEARLAKE,312002.99371446256,317287.82568303536,334610.07159836264,352959.0049399932,369063.92057076935,384381.3130704644,396400.6000062374,405370.54737745767,411568.0078178491
CLEARLAKE OAKS,52209.28788568005,55222.756608656615,65095.33294410334,75553.4945336724,84724.77677396678,93457.90034701541,100310.11417130273,105422.94752069983,108954.91500238169
CLOVERDALE,182215.73610189586,200822.4163086568,225937.14788178744,251244.48985419117,274515.71682299935,295612.88427987706,314729.54308399203,332175.8981480047,348482.1045513522
CLOVIS,2452551.237578935,2475715.670156974,2510804.180530968,2546656.168559783,2580157.984693543,2612996.414671897,2643053.724716449,2673464.9664010745,2705612.2172383107
COACHELLA,394239.46974128584,405784.73509444384,419659.451318722,436195.12747717585,454213.4270870909,471352.42833028856,485850.2571266987,498254.0546690693,509704.4760682348
COALINGA,513998.028784118,676921.9594182894,881300.8386008136,1109681.0204335386,1349927.627051699,1582085.9164993314,1793719.1474221647,1975266.8288151198,2159291.72211353
COARSEGOLD,253542.89762289613,259953.35415189492,275775.16416963056,292299.57692325045,308424.66564441327,325673.1460896321,342777.19998679584,359748.137730681,377489.7191111562
